High,Low,Close,Upper,Middle,Lower
342.079987,338.410004,342,345.59,336.28,326.44
341.890015,338.700012,341.559998,346.12,336.93,327.01
341.799988,338.910004,341.459991,346.24,337.34,327.78
344.070007,340.390015,340.899994,346.58,337.61,328.29
343.480011,339.869995,341.130005,347.08,337.87,328.44
343.839996,340.929993,343.369995,347.42,338.27,328.72
346.440002,344.309998,345.350006,347.87,338.86,329.43
346.209991,343.450012,343.540009,348.18,339.22,330.15
345,340.51001,341.089996,348.23,339.48,330.65
345.720001,341.089996,344.25,348.28,339.7,331.08
347.25,343.540009,345.339996,348.59,340.05,331.36
345.380005,341.98999,342.429993,348.96,340.24,331.56
346.790009,342.850006,346.609985,349.13,340.64,331.99
347.619995,345.100006,345.76001,349.5,341.08,332.52
351.190002,346.279999,349.630005,350.35,341.8,332.97
349.660004,345.540009,347.579987,351.06,342.47,333.64
351.089996,347.519989,349.799988,351.9,343.19,334.18
351.269989,348.600006,349.309998,352.53,343.95,335.09
351,348.320007,349.809998,353.21,344.6,335.82
352.329987,350.209991,351.959991,353.5,345.14,336.6
353.420013,351.25,352.26001,353.92,345.66,337.39
352.890015,349.690002,351.190002,354.47,346.14,337.94
354.470001,349.420013,353.809998,355.32,346.76,338.25
355.109985,349.390015,349.98999,356.08,347.21,338.5
364.630005,355.149994,362.579987,357.73,348.28,338.69
364.25,358.850006,363.730011,359,349.3,339.34
364.429993,356.059998,358.019989,360.54,349.93,339.31
362.350006,355.920013,356.980011,361.72,350.61,339.57
359.25,353.200012,358.350006,362.59,351.47,340.05
358.950012,356.809998,358.480011,363,352.18,341.09
357.920013,353.670013,354.5,363.58,352.64,341.54
358.720001,353.380005,354.109985,364.45,353.22,341.92
356.299988,351.880005,353.190002,364.97,353.55,342.32
354.299988,351.25,352.559998,365.36,353.89,342.57
354.179993,349.609985,352.089996,365.47,354.01,342.77
353.5,349.660004,350.570007,365.64,354.16,343.01
354.320007,351.540009,354.26001,365.72,354.39,343.29
357.230011,354.130005,354.299988,366.06,354.64,343.52
357.350006,352.920013,355.929993,366.56,354.94,343.58
358.410004,354.529999,355.549988,367.04,355.12,343.62
358.589996,354.01001,358.290009,367.54,355.42,343.52
362.679993,358.600006,361.059998,368.12,355.92,343.88
362.470001,359.25,360.200012,368.33,356.24,344.55
363.390015,360.600006,362.459991,368.45,356.86,345.4
366.470001,360,360.470001,368.23,356.76,345.94
362.799988,359.26001,361.670013,367.97,356.65,346.14
363.299988,360.869995,361.799988,367.31,356.84,346.97
364.829987,361.769989,363.149994,367.1,357.15,347.59
366.609985,364.51001,365.519989,367.06,357.51,348.55
370.429993,365.470001,367.779999,367.92,357.97,348.7
370.839996,365.970001,367.820007,368.63,358.64,349.25
370.220001,368.26001,369.5,368.87,359.41,350.33
370.200012,367.519989,367.859985,369.38,360.14,351.29
371.329987,367.790009,370.429993,370.29,361.04,352.07
373.339996,368.459991,370.480011,371.27,361.95,352.98
371.339996,366.730011,366.820007,372.24,362.77,353.75
367.200012,362.940002,363.279999,373.04,363.22,354.18
363.420013,359.76001,360.160004,373.4,363.51,354.4
361.890015,357.269989,361.709991,373.65,363.8,354.6
360.790009,357.950012,359.420013,373.66,363.99,354.88
360.519989,354.269989,357.779999,373.93,363.97,354.73
359.470001,356.670013,357.059998,373.64,363.77,354.76
357.5,348.549988,350.299988,373.97,363.27,353.66
350,345.410004,348.079987,373.49,362.55,352.72
348.23999,342.130005,343.040009,372.54,361.68,351.86
344.01001,339.51001,343.690002,371.7,360.78,350.78
345.940002,342.369995,345.059998,370.94,359.95,349.74
348.76001,341.859985,346.339996,370.53,359.11,348.37
345.899994,342.829987,345.450012,369.59,358.1,347.19
349.51001,345.5,348.559998,368.45,357.14,346.28
349.600006,344.920013,348.429993,367.37,356.17,345.25
348.660004,343.019989,345.660004,366.66,354.98,343.62
348.440002,343.880005,345.089996,365.77,353.84,342.26
349.940002,345.829987,346.230011,364.75,352.63,341.1
348.410004,344.149994,345.390015,363.44,351.38,339.95
344.829987,339.959991,340.890015,362.15,350.08,338.58
342.690002,338.450012,338.660004,360.92,348.85,337.36
340,334.350006,335.859985,359.95,347.64,335.89
338.880005,333.48999,336.839996,358.88,346.39,334.63
339.850006,337.769989,338.630005,357.75,345.35,333.7
339.619995,336.549988,336.899994,356.39,344.31,333.12
338.320007,335.459991,336.160004,355.34,343.26,332.06
336.190002,330.579987,331.709991,353.93,342.33,331.49
338.359985,332.179993,337.410004,353.51,341.8,330.67
341.48999,337.5,341.329987,352.96,341.71,330.65
345.329987,340.579987,343.75,353.05,341.72,330.68
349.390015,344.5,349.019989,353.35,341.92,330.65
354.350006,349.790009,351.809998,353.4,342.19,331.28
354.029999,344.059998,346.630005,354.5,342.25,330.66
346.950012,344.299988,346.170013,354.24,342.13,330.74
348,344.690002,346.299988,354.02,342.02,330.86
350.109985,346.880005,348.179993,353.85,342.15,331.29
351.200012,348.600006,350.559998,353.79,342.42,331.72
350.649994,348.809998,350.01001,353.6,342.61,332.1
355.950012,351.25,354.25,354.02,343.05,332.41
