High,Low,Close,Expected
338.850006,335.660004,336.959991,47.325608
337.470001,334.190002,335.250000,52.172438
335.829987,331.839996,334.119995,55.728459
336.730011,334.369995,335.339996,62.691236
336.399994,332.609985,334.149994,63.811604
337.010010,334.140015,336.910004,64.273404
342.500000,338.399994,341.000000,63.248211
342.079987,338.410004,342.000000,63.608127
341.890015,338.700012,341.559998,62.857762
341.799988,338.910004,341.459991,60.484336
344.070007,340.390015,340.899994,53.463231
343.480011,339.869995,341.130005,53.440577
343.839996,340.929993,343.369995,53.629152
346.440002,344.309998,345.350006,45.452215
346.209991,343.450012,343.540009,45.114396
345.000000,340.510010,341.089996,46.057363
345.720001,341.089996,344.250000,48.599835
347.250000,343.540009,345.339996,47.269813
345.380005,341.989990,342.429993,51.153995
346.790009,342.850006,346.609985,67.144358
