High,Low,Upper,Middle,Lower
349.51001,345.5,373.34,356.43,339.51
349.600006,344.920013,373.34,356.43,339.51
348.660004,343.019989,373.34,356.43,339.51
348.440002,343.880005,373.34,356.43,339.51
349.940002,345.829987,373.34,356.43,339.51
348.410004,344.149994,371.34,355.43,339.51
344.829987,339.959991,367.20,353.36,339.51
342.690002,338.450012,363.42,350.94,338.45
340,334.350006,361.89,348.12,334.35
338.880005,333.48999,360.79,347.14,333.49
339.850006,337.769989,360.52,347.00,333.49
339.619995,336.549988,359.47,346.48,333.49
338.320007,335.459991,357.50,345.49,333.49
336.190002,330.579987,350.00,340.29,330.58
338.359985,332.179993,349.94,340.26,330.58
341.48999,337.5,349.94,340.26,330.58
345.329987,340.579987,349.94,340.26,330.58
349.390015,344.5,349.94,340.26,330.58
354.350006,349.790009,354.35,342.46,330.58
354.029999,344.059998,354.35,342.46,330.58
346.950012,344.299988,354.35,342.46,330.58
348,344.690002,354.35,342.46,330.58
350.109985,346.880005,354.35,342.46,330.58
351.200012,348.600006,354.35,342.46,330.58
350.649994,348.809998,354.35,342.46,330.58
355.950012,351.25,355.95,343.26,330.58
357.309998,354.480011,357.31,343.94,330.58
360,357.230011,360.00,345.29,330.58
360.559998,358.070007,360.56,345.57,330.58
362.609985,358.179993,362.61,346.59,330.58
363.029999,360.25,363.03,346.80,330.58
362.459991,360.049988,363.03,346.80,330.58
363.190002,361.23999,363.19,346.88,330.58
362.640015,359.579987,363.19,347.68,332.18
362.119995,359.209991,363.19,350.35,337.50
361.519989,358.299988,363.19,351.88,340.58
