High,Low,Close,K,D
362.799988,359.26001,361.670013,71.53,76.4
363.299988,360.869995,361.799988,72.3,69.41
364.829987,361.769989,363.149994,80.31,74.71
366.609985,364.51001,365.519989,93.57,82.06
370.429993,365.470001,367.779999,85.97,86.62
370.839996,365.970001,367.820007,83.15,87.56
370.220001,368.26001,369.5,92.52,87.21
370.200012,367.519989,367.859985,82.29,85.99
371.329987,367.790009,370.429993,94.8,89.87
373.339996,368.459991,370.480011,80.6,85.9
371.339996,366.730011,366.820007,53.73,76.38
367.200012,362.940002,363.279999,28.55,54.29
363.420013,359.76001,360.160004,6.39,29.56
361.890015,357.269989,361.709991,27.63,20.86
360.790009,357.950012,359.420013,13.38,15.8
360.519989,354.269989,357.779999,18.41,19.8
359.470001,356.670013,357.059998,14.63,15.47
357.5,348.549988,350.299988,7.06,13.37
350,345.410004,348.079987,9.56,10.42
348.23999,342.130005,343.040009,2.92,6.51
344.01001,339.51001,343.690002,12.36,8.28
345.940002,342.369995,345.059998,16.41,10.56
348.76001,341.859985,346.339996,20.19,16.32
345.899994,342.829987,345.450012,18.66,18.42
349.51001,345.5,348.559998,32.68,23.84
349.600006,344.920013,348.429993,37.31,29.55
348.660004,343.019989,345.660004,27.48,32.49
348.440002,343.880005,345.089996,26.22,30.34
349.940002,345.829987,346.230011,31.98,28.56
348.410004,344.149994,345.390015,29.46,29.22
344.829987,339.959991,340.890015,7.67,23.04
342.690002,338.450012,338.660004,1.82,12.98
340,334.350006,335.859985,9.69,6.39
338.880005,333.48999,336.839996,20.36,10.62
339.850006,337.769989,338.630005,31.25,20.43
339.619995,336.549988,336.899994,20.73,24.11
338.320007,335.459991,336.160004,16.23,22.74
336.190002,330.579987,331.709991,5.84,14.27
338.359985,332.179993,337.410004,35.28,19.12
341.48999,337.5,341.329987,55.53,32.21
345.329987,340.579987,343.75,68.03,52.94
349.390015,344.5,349.019989,95.25,72.93
354.350006,349.790009,351.809998,89.31,84.2
354.029999,344.059998,346.630005,67.52,84.03
346.950012,344.299988,346.170013,65.59,74.14
348,344.690002,346.299988,66.13,66.41
350.109985,346.880005,348.179993,74.04,68.59
351.200012,348.600006,350.559998,84.06,74.74
350.649994,348.809998,350.01001,81.74,79.95
355.950012,351.25,354.25,93.3,86.37
357.309998,354.480011,356.790009,98.05,91.03
360,357.230011,359.859985,99.5,96.95
360.559998,358.070007,358.929993,92.93,96.83
362.609985,358.179993,361.329987,94.19,95.54
363.029999,360.25,361,89.3,92.14
362.459991,360.049988,361.799988,93.52,92.33
363.190002,361.23999,362.679993,97.33,93.38
362.640015,359.579987,361.339996,90.21,93.69
362.119995,359.209991,360.049988,83.03,90.19
361.519989,358.299988,358.690002,72.41,81.88
