High,Low,Close,Ibs
354.179993,349.609985,352.089996,0.542671
353.5,349.660004,350.570007,0.236980
354.320007,351.540009,354.26001,0.978418
357.230011,354.130005,354.299988,0.054833
357.350006,352.920013,355.929993,0.679455
358.410004,354.529999,355.549988,0.262883
358.589996,354.01001,358.290009,0.934500
362.679993,358.600006,361.059998,0.602941
362.470001,359.25,360.200012,0.295035
363.390015,360.600006,362.459991,0.666659
366.470001,360,360.470001,0.072643
362.799988,359.26001,361.670013,0.680796
363.299988,360.869995,361.799988,0.382714
364.829987,361.769989,363.149994,0.450982
366.609985,364.51001,365.519989,0.480948
370.429993,365.470001,367.779999,0.465726
370.839996,365.970001,367.820007,0.379878
370.220001,368.26001,369.5,0.632651
370.200012,367.519989,367.859985,0.126863
371.329987,367.790009,370.429993,0.745763
373.339996,368.459991,370.480011,0.413938
371.339996,366.730011,366.820007,0.019522
367.200012,362.940002,363.279999,0.079811
363.420013,359.76001,360.160004,0.109288
361.890015,357.269989,361.709991,0.961034
360.790009,357.950012,359.420013,0.517607
360.519989,354.269989,357.779999,0.561602
359.470001,356.670013,357.059998,0.139281
357.5,348.549988,350.299988,0.195530
350,345.410004,348.079987,0.581696
348.23999,342.130005,343.040009,0.148937
344.01001,339.51001,343.690002,0.928887
345.940002,342.369995,345.059998,0.753501
348.76001,341.859985,346.339996,0.649275
345.899994,342.829987,345.450012,0.853426
349.51001,345.5,348.559998,0.763090
349.600006,344.920013,348.429993,0.749997
348.660004,343.019989,345.660004,0.468087
348.440002,343.880005,345.089996,0.265349
349.940002,345.829987,346.230011,0.097329
348.410004,344.149994,345.390015,0.291084
344.829987,339.959991,340.890015,0.190970
342.690002,338.450012,338.660004,0.049527
340,334.350006,335.859985,0.267253
338.880005,333.48999,336.839996,0.621521
339.850006,337.769989,338.630005,0.413466
339.619995,336.549988,336.899994,0.114008
338.320007,335.459991,336.160004,0.244758
336.190002,330.579987,331.709991,0.201426
338.359985,332.179993,337.410004,0.846281
341.48999,337.5,341.329987,0.959899
345.329987,340.579987,343.75,0.667371
349.390015,344.5,349.019989,0.924330
354.350006,349.790009,351.809998,0.442980
354.029999,344.059998,346.630005,0.257774
346.950012,344.299988,346.170013,0.705663
348,344.690002,346.299988,0.486401
350.109985,346.880005,348.179993,0.402476
351.200012,348.600006,350.559998,0.753841
350.649994,348.809998,350.01001,0.652182
355.950012,351.25,354.25,0.638296
357.309998,354.480011,356.790009,0.816257
360,357.230011,359.859985,0.949453
360.559998,358.070007,358.929993,0.345377
362.609985,358.179993,361.329987,0.711061
363.029999,360.25,361,0.269784
362.459991,360.049988,361.799988,0.726140
363.190002,361.23999,362.679993,0.738459
362.640015,359.579987,361.339996,0.575161
362.119995,359.209991,360.049988,0.288658
361.519989,358.299988,358.690002,0.121122
