Close,BuySetup,SellSetup,BuyCountdown,SellCountdown
348.179993,2,0,0,0
350.559998,0,-1,0,0
350.01001,0,-2,0,0
354.25,0,-3,0,0
356.790009,0,-4,0,0
359.859985,0,-5,0,0
358.929993,0,-6,0,0
361.329987,0,-7,0,0
361.0,0,-8,0,0
361.799988,0,-9,0,1
362.679993,0,-10,0,2
361.339996,0,-11,0,2
360.049988,1,0,0,2
358.690002,2,0,0,2
