High,Low,Ao
354.470001,349.420013,8.25
355.109985,349.390015,8.36
364.630005,355.149994,9.49
364.25,358.850006,10.64
364.429993,356.059998,11.8
362.350006,355.920013,12.59
359.25,353.200012,12.79
358.950012,356.809998,11.68
357.920013,353.670013,9.93
358.720001,353.380005,8.46
356.299988,351.880005,6.91
354.299988,351.25,5.85
354.179993,349.609985,4.31
353.5,349.660004,3.14
354.320007,351.540009,2.15
357.230011,354.130005,2.07
357.350006,352.920013,2.14
358.410004,354.529999,2.65
358.589996,354.01001,3.27
362.679993,358.600006,4.34
362.470001,359.25,4.85
363.390015,360.600006,5.67
366.470001,360,6.5
362.799988,359.26001,6.94
363.299988,360.869995,6.72
364.829987,361.769989,6.71
366.609985,364.51001,6.93
370.429993,365.470001,7.27
370.839996,365.970001,8.18
370.220001,368.26001,9.05
370.200012,367.519989,9.59
371.329987,367.790009,9.86
373.339996,368.459991,9.9
371.339996,366.730011,9.51
367.200012,362.940002,8.28
363.420013,359.76001,6.56
361.890015,357.269989,4.57
360.790009,357.950012,2.33
360.519989,354.269989,0.08
359.470001,356.670013,-1.29
357.5,348.549988,-2.9
350,345.410004,-4.98
348.23999,342.130005,-7.5
344.01001,339.51001,-10.21
345.940002,342.369995,-12.7
348.76001,341.859985,-14.03
345.899994,342.829987,-14.47
349.51001,345.5,-13.89
349.600006,344.920013,-12.62
348.660004,343.019989,-12
348.440002,343.880005,-11.56
349.940002,345.829987,-10.6
348.410004,344.149994,-10.56
344.829987,339.959991,-10.99
342.690002,338.450012,-11.45
340,334.350006,-12.52
338.880005,333.48999,-14.06
339.850006,337.769989,-14.9
339.619995,336.549988,-15.06
338.320007,335.459991,-15.02
336.190002,330.579987,-14.83
338.359985,332.179993,-14.05
341.48999,337.5,-13.06
345.329987,340.579987,-11.32
349.390015,344.5,-8.66
354.350006,349.790009,-4.41
354.029999,344.059998,-1.01
346.950012,344.299988,0.9
348,344.690002,2.13
350.109985,346.880005,2.83
351.200012,348.600006,2.68
350.649994,348.809998,3.1
355.950012,351.25,4.81
357.309998,354.480011,6.78
360,357.230011,8.64
360.559998,358.070007,10.18
362.609985,358.179993,11.87
363.029999,360.25,12.89
362.459991,360.049988,13.46
363.190002,361.23999,13.68
362.640015,359.579987,13.55
362.119995,359.209991,13.22
361.519989,358.299988,12.5
