High,Low,Close,WilliamsR
329.980011,325.850006,329.76001,-14.41
333.940002,329.119995,330.390015,-21.48
331.48999,328.350006,329.130005,-29.1
329.269989,322.970001,323.109985,-65.52
323,319.559998,320.200012,-95.55
320.559998,317.709991,319.019989,-91.93
322.630005,319.670013,320.600006,-82.19
322.470001,319,322.190002,-72.4
322.410004,319.390015,321.079987,-79.24
323.220001,319.529999,323.119995,-66.67
330.670013,324.420013,329.480011,-27.48
330.890015,327.570007,328.579987,-33.03
334.160004,328.679993,333.410004,-4.56
335.820007,331.429993,335.420013,-2.21
336.320007,334.100006,335.950012,-1.99
337.589996,334.920013,335.290009,-11.57
335.350006,332.220001,333.600006,-20.07
336.619995,332.200012,336.390015,-6.04
340.380005,334.089996,335.899994,-19.76
341.679993,335.540009,339.820007,-8.2
341.299988,337.660004,338.309998,-14.86
339.279999,336.619995,338.670013,-13.5
341.350006,336.369995,338.609985,-13.86
338.850006,335.660004,336.959991,-27.35
337.470001,334.190002,335.25,-45.57
335.829987,331.839996,334.119995,-58.15
336.730011,334.369995,335.339996,-61.85
336.399994,332.609985,334.149994,-76.52
337.01001,334.140015,336.910004,-48.48
342.5,338.399994,341,-14.07
342.079987,338.410004,342,-4.69
341.890015,338.700012,341.559998,-8.82
341.799988,338.910004,341.459991,-9.76
344.070007,340.390015,340.899994,-25.92
343.480011,339.869995,341.130005,-24.04
343.839996,340.929993,343.369995,-5.72
346.440002,344.309998,345.350006,-7.47
346.209991,343.450012,343.540009,-19.86
345,340.51001,341.089996,-36.64
345.720001,341.089996,344.25,-15.84
347.25,343.540009,345.339996,-13.05
345.380005,341.98999,342.429993,-36.77
346.790009,342.850006,346.609985,-7.23
347.619995,345.100006,345.76001,-20.2
351.190002,346.279999,349.630005,-12.49
349.660004,345.540009,347.579987,-29.4
351.089996,347.519989,349.799988,-12.28
351.269989,348.600006,349.309998,-17.19
351,348.320007,349.809998,-13.57
352.329987,350.209991,351.959991,-3.13
353.420013,351.25,352.26001,-8.99
352.890015,349.690002,351.190002,-17.27
354.470001,349.420013,353.809998,-4.93
355.109985,349.390015,349.98999,-39.02
364.630005,355.149994,362.579987,-9.05
364.25,358.850006,363.730011,-4.13
364.429993,356.059998,358.019989,-33.85
362.350006,355.920013,356.980011,-40.07
359.25,353.200012,358.350006,-32.9
358.950012,356.809998,358.480011,-35.94
357.920013,353.670013,354.5,-62.11
358.720001,353.380005,354.109985,-64.5
356.299988,351.880005,353.190002,-75.07
354.299988,351.25,352.559998,-79.2
354.179993,349.609985,352.089996,-82.28
353.5,349.660004,350.570007,-92.26
354.320007,351.540009,354.26001,-68.04
357.230011,354.130005,354.299988,-68.77
357.350006,352.920013,355.929993,-57.35
358.410004,354.529999,355.549988,-59.92
358.589996,354.01001,358.290009,-31.87
362.679993,358.600006,361.059998,-12.39
362.470001,359.25,360.200012,-18.97
363.390015,360.600006,362.459991,-6.75
366.470001,360,360.470001,-35.59
362.799988,359.26001,361.670013,-28.47
363.299988,360.869995,361.799988,-27.7
364.829987,361.769989,363.149994,-19.69
366.609985,364.51001,365.519989,-6.43
370.429993,365.470001,367.779999,-14.03
370.839996,365.970001,367.820007,-16.85
370.220001,368.26001,369.5,-7.48
370.200012,367.519989,367.859985,-17.71
371.329987,367.790009,370.429993,-5.2
373.339996,368.459991,370.480011,-19.4
371.339996,366.730011,366.820007,-46.27
367.200012,362.940002,363.279999,-71.45
363.420013,359.76001,360.160004,-93.61
361.890015,357.269989,361.709991,-72.37
360.790009,357.950012,359.420013,-86.62
360.519989,354.269989,357.779999,-81.59
359.470001,356.670013,357.059998,-85.37
357.5,348.549988,350.299988,-92.94
350,345.410004,348.079987,-90.44
348.23999,342.130005,343.040009,-97.08
344.01001,339.51001,343.690002,-87.64
345.940002,342.369995,345.059998,-83.59
348.76001,341.859985,346.339996,-79.81
345.899994,342.829987,345.450012,-81.34
349.51001,345.5,348.559998,-67.32
349.600006,344.920013,348.429993,-62.69
348.660004,343.019989,345.660004,-72.52
348.440002,343.880005,345.089996,-73.78
349.940002,345.829987,346.230011,-68.02
348.410004,344.149994,345.390015,-70.54
344.829987,339.959991,340.890015,-92.33
342.690002,338.450012,338.660004,-98.18
340,334.350006,335.859985,-90.31
338.880005,333.48999,336.839996,-79.64
339.850006,337.769989,338.630005,-68.75
339.619995,336.549988,336.899994,-79.27
338.320007,335.459991,336.160004,-83.77
336.190002,330.579987,331.709991,-94.16
338.359985,332.179993,337.410004,-64.72
341.48999,337.5,341.329987,-44.47
345.329987,340.579987,343.75,-31.97
349.390015,344.5,349.019989,-4.75
354.350006,349.790009,351.809998,-10.69
354.029999,344.059998,346.630005,-32.48
346.950012,344.299988,346.170013,-34.41
348,344.690002,346.299988,-33.87
350.109985,346.880005,348.179993,-25.96
351.200012,348.600006,350.559998,-15.94
350.649994,348.809998,350.01001,-18.26
355.950012,351.25,354.25,-6.7
357.309998,354.480011,356.790009,-1.95
360,357.230011,359.859985,-0.5
360.559998,358.070007,358.929993,-7.07
362.609985,358.179993,361.329987,-5.81
363.029999,360.25,361,-10.7
362.459991,360.049988,361.799988,-6.48
363.190002,361.23999,362.679993,-2.67
362.640015,359.579987,361.339996,-9.79
362.119995,359.209991,360.049988,-16.97
361.519989,358.299988,358.690002,-27.59
