Close,Volume,Nvi
328.579987,3091800,1026.83
333.410004,3181400,1026.83
335.420013,3727800,1026.83
335.950012,2759300,1028.45
335.290009,2619200,1026.43
333.600006,2873400,1026.43
336.390015,2953000,1026.43
335.899994,5164600,1026.43
339.820007,4095200,1038.41
338.309998,8486200,1038.41
338.670013,3751700,1039.51
338.609985,4507000,1039.51
336.959991,3303300,1034.45
335.25,4451700,1034.45
334.119995,3220900,1030.96
335.339996,2625600,1034.73
334.149994,3175100,1034.73
336.910004,2498900,1043.27
341,4520600,1043.27
342,2047400,1046.33
341.559998,2870700,1046.33
341.459991,2548300,1046.03
340.899994,2940800,1046.03
341.130005,2966500,1046.03
343.369995,2754900,1052.90
345.350006,2897100,1052.90
343.540009,2831800,1047.38
341.089996,2669300,1039.91
344.25,2359500,1049.54
345.339996,2565300,1049.54
342.429993,3032100,1049.54
346.609985,3146000,1049.54
345.76001,3301900,1049.54
349.630005,3269400,1061.29
347.579987,3014000,1055.07
349.799988,2682900,1061.80
349.309998,2706700,1061.80
349.809998,2473300,1063.32
351.959991,2621600,1063.32
352.26001,2293300,1064.23
351.190002,3085900,1064.23
353.809998,2942000,1072.17
349.98999,2842000,1060.59
362.579987,5379900,1060.59
363.730011,3428800,1063.96
358.019989,4424600,1063.96
356.980011,3098800,1060.87
358.350006,2475200,1064.94
358.480011,1990700,1065.33
354.5,2863700,1065.33
354.109985,2196100,1064.15
353.190002,2847700,1064.15
352.559998,2870600,1064.15
352.089996,2540000,1062.74
350.570007,2363300,1058.15
354.26001,2239500,1069.29
354.299988,2521100,1069.29
355.929993,2136800,1074.20
355.549988,1728000,1073.06
358.290009,2285600,1073.06
361.059998,3058300,1073.06
360.200012,2842300,1070.50
362.459991,2637900,1077.22
360.470001,2976800,1077.22
361.670013,2655800,1080.80
361.799988,3263800,1080.80
363.149994,3019100,1084.84
365.519989,2921600,1091.92
367.779999,2898400,1098.67
367.820007,3261400,1098.67
369.5,3670100,1098.67
367.859985,11595000,1098.67
370.429993,3130900,1106.34
370.480011,2603700,1106.49
366.820007,2268400,1095.56
363.279999,3178600,1095.56
360.160004,3969400,1095.56
361.709991,2556200,1100.28
359.420013,3063900,1100.28
357.779999,3535400,1100.28
357.059998,2731700,1098.06
350.299988,4932900,1098.06
348.079987,3527600,1091.10
343.040009,3151700,1075.31
343.690002,3244600,1075.31
345.059998,3027300,1079.59
346.339996,3174700,1079.59
345.450012,2762800,1076.82
348.559998,2858600,1076.82
348.429993,2620800,1076.42
345.660004,2677500,1076.42
345.089996,2804800,1076.42
346.230011,3117800,1076.42
345.390015,2998600,1073.80
340.890015,2977100,1059.81
338.660004,2741300,1052.88
335.859985,3466100,1052.88
336.839996,2794200,1055.95
338.630005,2355700,1061.56
336.899994,2623200,1061.56
336.160004,2685400,1061.56
331.709991,3608200,1061.56
337.410004,2634700,1079.81
341.329987,3066900,1079.81
343.75,2789700,1087.46
349.019989,3433700,1087.46
351.809998,4409100,1087.46
346.630005,5486200,1087.46
346.170013,3062900,1086.02
346.299988,2602400,1086.43
348.179993,3052100,1086.43
350.559998,3701100,1086.43
350.01001,2196200,1084.72
354.25,3387500,1084.72
356.790009,3572900,1084.72
359.859985,2822500,1094.06
358.929993,3260000,1094.06
361.329987,3215300,1101.37
361,2918800,1100.37
361.799988,2110200,1102.80
362.679993,1282000,1105.49
361.339996,2580300,1105.49
360.049988,2953500,1105.49
358.690002,3141100,1105.49
