High,Low,Close,Mfm
329.269989,322.970001,323.109985,-0.96
323,319.559998,320.200012,-0.63
320.559998,317.709991,319.019989,-0.08
322.630005,319.670013,320.600006,-0.37
322.470001,319,322.190002,0.84
322.410004,319.390015,321.079987,0.12
323.220001,319.529999,323.119995,0.95
330.670013,324.420013,329.480011,0.62
330.890015,327.570007,328.579987,-0.39
334.160004,328.679993,333.410004,0.73
335.820007,331.429993,335.420013,0.82
336.320007,334.100006,335.950012,0.67
337.589996,334.920013,335.290009,-0.72
335.350006,332.220001,333.600006,-0.12
336.619995,332.200012,336.390015,0.9
340.380005,334.089996,335.899994,-0.42
341.679993,335.540009,339.820007,0.39
341.299988,337.660004,338.309998,-0.64
339.279999,336.619995,338.670013,0.54
341.350006,336.369995,338.609985,-0.1
338.850006,335.660004,336.959991,-0.18
337.470001,334.190002,335.25,-0.35
335.829987,331.839996,334.119995,0.14
336.730011,334.369995,335.339996,-0.18
336.399994,332.609985,334.149994,-0.19
337.01001,334.140015,336.910004,0.93
342.5,338.399994,341,0.27
342.079987,338.410004,342,0.96
341.890015,338.700012,341.559998,0.79
341.799988,338.910004,341.459991,0.76
344.070007,340.390015,340.899994,-0.72
343.480011,339.869995,341.130005,-0.3
343.839996,340.929993,343.369995,0.68
346.440002,344.309998,345.350006,-0.02
346.209991,343.450012,343.540009,-0.93
345,340.51001,341.089996,-0.74
345.720001,341.089996,344.25,0.37
347.25,343.540009,345.339996,-0.03
345.380005,341.98999,342.429993,-0.74
346.790009,342.850006,346.609985,0.91
347.619995,345.100006,345.76001,-0.48
351.190002,346.279999,349.630005,0.36
349.660004,345.540009,347.579987,-0.01
351.089996,347.519989,349.799988,0.28
351.269989,348.600006,349.309998,-0.47
351,348.320007,349.809998,0.11
352.329987,350.209991,351.959991,0.65
353.420013,351.25,352.26001,-0.07
352.890015,349.690002,351.190002,-0.06
354.470001,349.420013,353.809998,0.74
355.109985,349.390015,349.98999,-0.79
364.630005,355.149994,362.579987,0.57
364.25,358.850006,363.730011,0.81
364.429993,356.059998,358.019989,-0.53
362.350006,355.920013,356.980011,-0.67
359.25,353.200012,358.350006,0.7
358.950012,356.809998,358.480011,0.56
357.920013,353.670013,354.5,-0.61
358.720001,353.380005,354.109985,-0.73
356.299988,351.880005,353.190002,-0.41
354.299988,351.25,352.559998,-0.14
354.179993,349.609985,352.089996,0.09
353.5,349.660004,350.570007,-0.53
354.320007,351.540009,354.26001,0.96
357.230011,354.130005,354.299988,-0.89
357.350006,352.920013,355.929993,0.36
358.410004,354.529999,355.549988,-0.47
358.589996,354.01001,358.290009,0.87
362.679993,358.600006,361.059998,0.21
362.470001,359.25,360.200012,-0.41
363.390015,360.600006,362.459991,0.33
366.470001,360,360.470001,-0.85
362.799988,359.26001,361.670013,0.36
363.299988,360.869995,361.799988,-0.23
364.829987,361.769989,363.149994,-0.1
366.609985,364.51001,365.519989,-0.04
370.429993,365.470001,367.779999,-0.07
370.839996,365.970001,367.820007,-0.24
370.220001,368.26001,369.5,0.27
370.200012,367.519989,367.859985,-0.75
371.329987,367.790009,370.429993,0.49
373.339996,368.459991,370.480011,-0.17
371.339996,366.730011,366.820007,-0.96
367.200012,362.940002,363.279999,-0.84
363.420013,359.76001,360.160004,-0.78
361.890015,357.269989,361.709991,0.92
360.790009,357.950012,359.420013,0.04
360.519989,354.269989,357.779999,0.12
359.470001,356.670013,357.059998,-0.72
357.5,348.549988,350.299988,-0.61
350,345.410004,348.079987,0.16
348.23999,342.130005,343.040009,-0.7
344.01001,339.51001,343.690002,0.86
345.940002,342.369995,345.059998,0.51
348.76001,341.859985,346.339996,0.3
345.899994,342.829987,345.450012,0.71
349.51001,345.5,348.559998,0.53
349.600006,344.920013,348.429993,0.5
348.660004,343.019989,345.660004,-0.06
348.440002,343.880005,345.089996,-0.47
349.940002,345.829987,346.230011,-0.81
348.410004,344.149994,345.390015,-0.42
344.829987,339.959991,340.890015,-0.62
342.690002,338.450012,338.660004,-0.9
340,334.350006,335.859985,-0.47
338.880005,333.48999,336.839996,0.24
339.850006,337.769989,338.630005,-0.17
339.619995,336.549988,336.899994,-0.77
338.320007,335.459991,336.160004,-0.51
336.190002,330.579987,331.709991,-0.6
338.359985,332.179993,337.410004,0.69
341.48999,337.5,341.329987,0.92
345.329987,340.579987,343.75,0.33
349.390015,344.5,349.019989,0.85
354.350006,349.790009,351.809998,-0.11
354.029999,344.059998,346.630005,-0.48
346.950012,344.299988,346.170013,0.41
348,344.690002,346.299988,-0.03
350.109985,346.880005,348.179993,-0.2
351.200012,348.600006,350.559998,0.51
350.649994,348.809998,350.01001,0.3
355.950012,351.25,354.25,0.28
357.309998,354.480011,356.790009,0.63
360,357.230011,359.859985,0.9
360.559998,358.070007,358.929993,-0.31
362.609985,358.179993,361.329987,0.42
363.029999,360.25,361,-0.46
362.459991,360.049988,361.799988,0.45
363.190002,361.23999,362.679993,0.48
362.640015,359.579987,361.339996,0.15
362.119995,359.209991,360.049988,-0.42
361.519989,358.299988,358.690002,-0.76
