Close,Volume,Fi
302.140015,3833900,-4240276.68
302.320007,2436500,-3571872.79
305.299988,2650000,-1933469.59
305.079987,2694000,-1741928.60
308.769989,5020200,1153282.35
310.309998,4862300,2058239.98
309.070007,2740300,1278784.65
310.390015,2314500,1532552.34
312.51001,3131400,2261980.91
312.619995,2330900,1975464.22
313.700012,3109500,2173014.02
314.549988,2662600,2185890.03
318.049988,3323300,3535270.03
319.73999,2975400,3748578.88
323.790009,3425500,5194973.33
324.630005,3581200,4882576.24
323.089996,2406200,3655698.25
323.820007,2428400,3386706.89
324.329987,2405700,3078157.18
326.049988,2261900,3194201.90
324.339996,2552200,2114424.26
320.529999,2718600,332669.68
326.230011,2950000,2687293.35
328.549988,2909600,3267709.31
330.170013,2461300,3370517.63
325.859985,3366500,816199.50
323.220001,2653800,-301256.08
320,3185600,-1723595.95
323.880005,3869500,667443.38
326.140015,3302400,1638302.47
324.869995,2283400,989978.74
322.98999,2639800,139576.46
322.640015,2548900,-7798.93
322.48999,1937300,-48205.29
323.529999,2190000,284055.43
323.75,2139500,310717.81
327.390015,3046800,1850672.08
329.76001,2805000,2535981.21
330.390015,4322900,2562762.27
329.130005,2762500,1699399.43
323.109985,4029300,-2008581.43
320.200012,3071500,-2998495.81
319.019989,4245400,-3285806.36
320.600006,3229400,-2087475.89
322.190002,3231800,-1055186.61
321.079987,6175000,-1883637.47
323.119995,3375300,-630883.69
329.480011,3962200,3059193.32
328.579987,3091800,2224637.96
333.410004,3181400,4102006.27
335.420013,3727800,4586421.31
335.950012,2759300,4140136.30
335.290009,2619200,3301733.99
333.600006,2873400,2136335.62
336.390015,2953000,3008130.04
335.899994,5164600,2216859.68
339.820007,4095200,4193485.05
338.309998,8486200,1763810.27
338.670013,3751700,1704789.99
338.609985,4507000,1422599.10
336.959991,3303300,440738.49
335.25,4451700,-709705.14
334.119995,3220900,-1128266.28
335.339996,2625600,-509480.43
334.149994,3175100,-976465.42
336.910004,2498900,148313.78
341,4520600,2768445.51
342,2047400,2665439.01
341.559998,2870700,2104217.19
341.459991,2548300,1767207.90
340.899994,2940800,1279486.89
341.130005,2966500,1194178.42
343.369995,2754900,1905145.57
345.350006,2897100,2452451.90
343.540009,2831800,1369880.27
341.089996,2669300,239923.13
344.25,2359500,1270795.46
345.339996,2565300,1488705.64
342.429993,3032100,15544.82
346.609985,3146000,1891931.97
345.76001,3301900,1220722.76
349.630005,3269400,2853842.61
347.579987,3014000,1563471.63
349.799988,2682900,2190981.49
349.309998,2706700,1688519.00
349.809998,2473300,1623966.29
351.959991,2621600,2197174.20
352.26001,2293300,1981582.68
351.190002,3085900,1226794.05
353.809998,2942000,2152684.65
349.98999,2842000,294235.02
362.579987,5379900,9928333.57
363.730011,3428800,9073314.82
358.019989,4424600,4167903.65
356.980011,3098800,3112105.44
358.350006,2475200,3151949.18
358.480011,1990700,2738642.29
354.5,2863700,719185.18
354.109985,2196100,494085.59
353.190002,2847700,49239.71
352.559998,2870600,-216150.18
352.089996,2540000,-355815.16
350.570007,2363300,-818154.43
354.26001,2239500,479262.17
354.299988,2521100,425194.50
355.929993,2136800,862023.10
355.549988,1728000,645070.00
358.290009,2285600,1447573.14
361.059998,3058300,2450985.17
360.200012,2842300,1751653.26
362.459991,2637900,2353074.02
360.470001,2976800,1170663.13
361.670013,2655800,1458710.09
361.799988,3263800,1310924.71
363.149994,3019100,1705907.34
365.519989,2921600,2451374.49
367.779999,2898400,3036951.42
367.820007,3261400,2621741.51
369.5,3670100,3128027.34
367.859985,11595000,-35401.41
370.429993,3130900,1119147.08
370.480011,2603700,977873.48
366.820007,2268400,-347873.17
363.279999,3178600,-1905644.06
360.160004,3969400,-3402624.65
361.709991,2556200,-2350524.45
359.420013,3063900,-3017058.61
357.779999,3535400,-3414351.02
357.059998,2731700,-3207561.84
350.299988,4932900,-7513117.77
348.079987,3527600,-7558568.87
343.040009,3151700,-8747987.42
343.690002,3244600,-7196993.89
345.059998,3027300,-5576367.78
346.339996,3174700,-4199228.14
345.450012,2762800,-3950602.38
348.559998,2858600,-2116201.18
348.429993,2620800,-1862560.60
345.660004,2677500,-2656001.31
345.089996,2804800,-2504966.61
346.230011,3117800,-1639351.56
345.390015,2998600,-1764988.77
340.890015,2977100,-3426697.51
338.660004,2741300,-3810473.46
