Close,Volume,Vwap
319.73999,2975400,310.28
323.790009,3425500,312.06
324.630005,3581200,313.59
323.089996,2406200,314.60
323.820007,2428400,315.68
324.329987,2405700,317.01
326.049988,2261900,318.37
324.339996,2552200,319.41
320.529999,2718600,320.02
326.230011,2950000,321.09
328.549988,2909600,322.14
330.170013,2461300,323.31
325.859985,3366500,324.12
323.220001,2653800,324.57
320,3185600,324.57
323.880005,3869500,324.57
326.140015,3302400,324.69
324.869995,2283400,324.80
322.98999,2639800,324.74
322.640015,2548900,324.63
322.48999,1937300,324.44
323.529999,2190000,324.40
323.75,2139500,324.64
327.390015,3046800,324.73
329.76001,2805000,324.81
330.390015,4322900,325.08
329.130005,2762500,325.30
323.109985,4029300,325.22
320.200012,3071500,325.25
319.019989,4245400,324.73
320.600006,3229400,324.30
322.190002,3231800,324.10
321.079987,6175000,323.76
323.119995,3375300,323.78
329.480011,3962200,324.29
328.579987,3091800,324.59
333.410004,3181400,325.18
335.420013,3727800,325.80
335.950012,2759300,326.13
335.290009,2619200,326.24
333.600006,2873400,326.51
336.390015,2953000,327.39
335.899994,5164600,328.70
339.820007,4095200,330.41
338.309998,8486200,332.19
338.670013,3751700,333.19
338.609985,4507000,335.01
336.959991,3303300,335.87
335.25,4451700,336.28
334.119995,3220900,336.58
335.339996,2625600,336.71
334.149994,3175100,336.65
336.910004,2498900,336.70
341,4520600,337.11
342,2047400,337.48
341.559998,2870700,337.75
341.459991,2548300,338.12
340.899994,2940800,338.14
341.130005,2966500,338.30
343.369995,2754900,338.59
345.350006,2897100,339.04
343.540009,2831800,339.50
341.089996,2669300,340.08
344.25,2359500,340.81
345.339996,2565300,341.46
342.429993,3032100,342.12
346.609985,3146000,342.80
345.76001,3301900,343.26
349.630005,3269400,343.84
347.579987,3014000,344.29
349.799988,2682900,344.83
349.309998,2706700,345.42
349.809998,2473300,346.01
351.959991,2621600,346.59
352.26001,2293300,347.02
351.190002,3085900,347.60
353.809998,2942000,348.50
349.98999,2842000,348.85
362.579987,5379900,350.79
363.730011,3428800,352.41
358.019989,4424600,353.37
356.980011,3098800,354.19
358.350006,2475200,354.77
358.480011,1990700,355.46
354.5,2863700,355.75
354.109985,2196100,356.08
353.190002,2847700,356.25
352.559998,2870600,356.27
352.089996,2540000,356.23
350.570007,2363300,356.28
354.26001,2239500,356.35
354.299988,2521100,356.66
355.929993,2136800,355.78
355.549988,1728000,355.02
358.290009,2285600,354.85
361.059998,3058300,355.22
360.200012,2842300,355.40
362.459991,2637900,355.76
360.470001,2976800,356.26
361.670013,2655800,356.79
361.799988,3263800,357.53
363.149994,3019100,358.39
365.519989,2921600,359.40
367.779999,2898400,360.61
367.820007,3261400,361.60
369.5,3670100,362.80
367.859985,11595000,364.30
370.429993,3130900,364.99
370.480011,2603700,365.57
366.820007,2268400,365.91
363.279999,3178600,366.06
360.160004,3969400,365.79
361.709991,2556200,365.90
359.420013,3063900,365.73
357.779999,3535400,365.44
357.059998,2731700,365.13
350.299988,4932900,363.73
348.079987,3527600,362.50
343.040009,3151700,361.04
343.690002,3244600,359.40
345.059998,3027300,356.25
346.339996,3174700,354.57
345.450012,2762800,353.09
348.559998,2858600,352.13
348.429993,2620800,351.13
345.660004,2677500,349.97
345.089996,2804800,348.98
346.230011,3117800,348.07
345.390015,2998600,347.09
340.890015,2977100,346.05
338.660004,2741300,345.06
335.859985,3466100,344.04
336.839996,2794200,343.63
338.630005,2355700,343.33
336.899994,2623200,342.78
336.160004,2685400,342.05
331.709991,3608200,340.89
337.410004,2634700,340.11
341.329987,3066900,339.67
343.75,2789700,339.55
349.019989,3433700,339.96
351.809998,4409100,340.73
346.630005,5486200,341.14
346.170013,3062900,341.50
346.299988,2602400,341.95
348.179993,3052100,342.85
350.559998,3701100,343.84
350.01001,2196200,344.41
354.25,3387500,345.56
356.790009,3572900,346.95
359.859985,2822500,348.93
358.929993,3260000,350.27
361.329987,3215300,351.62
361,2918800,352.66
361.799988,2110200,353.36
362.679993,1282000,353.80
361.339996,2580300,355.27
360.049988,2953500,356.33
358.690002,3141100,357.17
