High,Low,Close,Volume,Mfv
341.890015,338.700012,341.559998,2870700,2276732.03
341.799988,338.910004,341.459991,2548300,1948701.97
344.070007,340.390015,340.899994,2940800,-2125718.75
343.480011,339.869995,341.130005,2966500,-895694.96
343.839996,340.929993,343.369995,2754900,1865000.05
346.440002,344.309998,345.350006,2897100,-67990.59
346.209991,343.450012,343.540009,2831800,-2647122.14
345,340.51001,341.089996,2669300,-1979696.40
345.720001,341.089996,344.25,2359500,861243.58
347.25,343.540009,345.339996,2565300,-76072.05
345.380005,341.98999,342.429993,3032100,-2245004.31
346.790009,342.850006,346.609985,3146000,2858510.12
347.619995,345.100006,345.76001,3301900,-1572315.30
351.190002,346.279999,349.630005,3269400,1191904.65
349.660004,345.540009,347.579987,3014000,-29290.70
351.089996,347.519989,349.799988,2682900,743989.26
351.269989,348.600006,349.309998,2706700,-1267188.70
351,348.320007,349.809998,2473300,276852.51
352.329987,350.209991,351.959991,2621600,1706521.37
353.420013,351.25,352.26001,2293300,-158514.69
352.890015,349.690002,351.190002,3085900,-192880.50
354.470001,349.420013,353.809998,2942000,2172996.66
355.109985,349.390015,349.98999,2842000,-2245797.94
364.630005,355.149994,362.579987,5379900,3053132.27
364.25,358.850006,363.730011,3428800,2768451.75
364.429993,356.059998,358.019989,4424600,-2352394.18
362.350006,355.920013,356.980011,3098800,-2077112.48
359.25,353.200012,358.350006,2475200,1738780.31
358.950012,356.809998,358.480011,1990700,1116284.23
357.920013,353.670013,354.5,2863700,-1745189.99
358.720001,353.380005,354.109985,2196100,-1595684.17
356.299988,351.880005,353.190002,2847700,-1159694.21
354.299988,351.25,352.559998,2870600,-404701.60
354.179993,349.609985,352.089996,2540000,216768.89
353.5,349.660004,350.570007,2363300,-1243189.41
354.320007,351.540009,354.26001,2239500,2142835.70
357.230011,354.130005,354.299988,2521100,-2244620.44
357.350006,352.920013,355.929993,2136800,766918.03
358.410004,354.529999,355.549988,1728000,-819474.89
358.589996,354.01001,358.290009,2285600,1986188.48
362.679993,358.600006,361.059998,3058300,629649.76
362.470001,359.25,360.200012,2842300,-1165145.80
363.390015,360.600006,362.459991,2637900,879260.29
366.470001,360,360.470001,2976800,-2544311.98
362.799988,359.26001,361.670013,2655800,960316.24
363.299988,360.869995,361.799988,3263800,-765594.32
364.829987,361.769989,363.149994,3019100,-295978.55
366.609985,364.51001,365.519989,2921600,-111324.02
370.429993,365.470001,367.779999,2898400,-198678.63
370.839996,365.970001,367.820007,3261400,-783529.05
370.220001,368.26001,369.5,3670100,973683.87
370.200012,367.519989,367.859985,11595000,-8653044.93
371.329987,367.790009,370.429993,3130900,1538917.67
373.339996,368.459991,370.480011,2603700,-448158.74
371.339996,366.730011,366.820007,2268400,-2179832.72
367.200012,362.940002,363.279999,3178600,-2671223.51
363.420013,359.76001,360.160004,3969400,-3101785.31
361.890015,357.269989,361.709991,2556200,2356990.15
360.790009,357.950012,359.420013,3063900,107889.31
360.519989,354.269989,357.779999,3535400,435572.59
359.470001,356.670013,357.059998,2731700,-1970752.44
357.5,348.549988,350.299988,4932900,-3003835.55
350,345.410004,348.079987,3527600,576382.67
348.23999,342.130005,343.040009,3151700,-2212889.31
