High,Low,Close,K,D,J
370.220001,368.26001,369.5,79.99,80.57,78.82
370.200012,367.519989,367.859985,78.88,79.94,76.75
371.329987,367.790009,370.429993,85.08,81.32,92.61
373.339996,368.459991,370.480011,81.29,81.75,80.37
371.339996,366.730011,366.820007,71.09,79.15,54.95
367.200012,362.940002,363.279999,41.33,64.57,-5.15
363.420013,359.76001,360.160004,16.62,43.01,-36.16
361.890015,357.269989,361.709991,11.28,23.08,-12.31
360.790009,357.950012,359.420013,14.65,14.18,15.58
360.519989,354.269989,357.779999,19.8,15.25,28.92
359.470001,356.670013,357.059998,15.47,16.64,13.13
357.5,348.549988,350.299988,13.37,16.21,7.67
350,345.410004,348.079987,10.66,13.17,5.65
348.23999,342.130005,343.040009,7,10.34,0.3
344.01001,339.51001,343.690002,10.47,9.38,12.66
345.940002,342.369995,345.059998,15.3,10.92,24.07
348.76001,341.859985,346.339996,24.79,16.86,40.67
345.899994,342.829987,345.450012,28.39,22.83,39.51
349.51001,345.5,348.559998,35.24,29.47,46.76
349.600006,344.920013,348.429993,41.07,34.9,53.4
348.660004,343.019989,345.660004,51.18,42.5,68.56
348.440002,343.880005,345.089996,54.5,48.92,65.68
349.940002,345.829987,346.230011,59.45,55.05,68.27
348.410004,344.149994,345.390015,54.47,56.14,51.13
344.829987,339.959991,340.890015,39.15,51.02,15.39
342.690002,338.450012,338.660004,18.28,37.3,-19.76
340,334.350006,335.859985,6.94,21.46,-22.08
338.880005,333.48999,336.839996,10.63,11.95,7.98
339.850006,337.769989,338.630005,20.43,12.67,35.96
339.619995,336.549988,336.899994,24.11,18.39,35.56
338.320007,335.459991,336.160004,22.74,22.43,23.35
336.190002,330.579987,331.709991,14.43,20.43,2.44
338.359985,332.179993,337.410004,23.5,20.22,30.05
341.48999,337.5,341.329987,47.68,28.54,85.96
345.329987,340.579987,343.75,75.33,48.84,128.32
349.390015,344.5,349.019989,92.03,71.68,132.73
354.350006,349.790009,351.809998,92.21,86.52,103.59
354.029999,344.059998,346.630005,84.96,89.73,75.4
346.950012,344.299988,346.170013,74.14,83.77,54.88
348,344.690002,346.299988,66.41,75.17,48.9
350.109985,346.880005,348.179993,67.96,69.51,64.88
351.200012,348.600006,350.559998,71.94,68.77,78.27
350.649994,348.809998,350.01001,72.72,70.87,76.41
355.950012,351.25,354.25,77.23,73.96,83.77
357.309998,354.480011,356.790009,83.42,77.79,94.68
360,357.230011,359.859985,93.63,84.76,111.38
360.559998,358.070007,358.929993,95.06,90.7,103.77
362.609985,358.179993,361.329987,93.98,94.23,93.5
363.029999,360.25,361,90.09,93.04,84.18
362.459991,360.049988,361.799988,90.59,91.55,88.66
363.190002,361.23999,362.679993,91.79,90.82,93.72
362.640015,359.579987,361.339996,90.81,91.06,90.31
362.119995,359.209991,360.049988,81.64,88.08,68.75
361.519989,358.299988,358.690002,57.65,76.7,19.55
