Open,High,Low,Close,Bop
334.01001,335.820007,331.429993,335.420013,0
335.48999,336.320007,334.100006,335.950012,0
335.76001,337.589996,334.920013,335.290009,0
335.160004,335.350006,332.220001,333.600006,0
333.220001,336.619995,332.200012,336.390015,1
337.220001,340.380005,334.089996,335.899994,0
335.970001,341.679993,335.540009,339.820007,1
341.019989,341.299988,337.660004,338.309998,-1
338.149994,339.279999,336.619995,338.670013,0
337.299988,341.350006,336.369995,338.609985,0
338.839996,338.850006,335.660004,336.959991,-1
335.100006,337.470001,334.190002,335.25,0
335.170013,335.829987,331.839996,334.119995,0
334.390015,336.730011,334.369995,335.339996,0
336.049988,336.399994,332.609985,334.149994,-1
334.26001,337.01001,334.140015,336.910004,1
338.779999,342.5,338.399994,341,1
340.75,342.079987,338.410004,342,0
