Close,Wma3,Wma5
336.390015,335.277,335.303
335.899994,335.68,335.493
339.820007,337.942,336.957
338.309998,338.412,337.661
338.670013,338.742,338.283
338.609985,338.58,338.547
336.959991,337.795,338.113
335.25,336.38,337.038
334.119995,334.97,335.891
335.339996,334.918,335.431
334.149994,334.542,334.795
336.910004,335.728,335.377
341,338.495,337.326
342,340.818,339.225
341.559998,341.613,340.451
341.459991,341.583,341.23
340.899994,341.197,341.335
341.130005,341.108,341.25
343.369995,342.212,341.903
345.350006,343.987,343.125
343.540009,344.115,343.491
341.089996,342.617,342.902
344.25,343.078,343.353
345.339996,344.268,343.96
342.429993,343.703,343.465
346.609985,345.005,344.559
345.76001,345.488,345.164
349.630005,347.837,346.748
347.579987,347.96,347.29
349.799988,349.032,348.423
349.309998,349.185,348.901
349.809998,349.642,349.365
351.959991,350.802,350.277
352.26001,351.752,351.133
351.190002,351.675,351.32
353.809998,352.678,352.288
349.98999,351.463,351.683
362.579987,356.922,355.262
363.730011,361.057,358.517
358.019989,360.683,359.103
356.980011,358.452,358.888
358.350006,357.838,358.918
358.480011,358.187,358.434
354.5,356.468,356.897
354.109985,354.968,355.845
353.190002,353.715,354.747
352.559998,353.028,353.691
352.089996,352.43,352.865
350.570007,351.408,351.959
354.26001,352.668,352.544
354.299988,353.665,353.133
355.929993,355.108,354.191
355.549988,355.468,354.897
358.290009,356.983,356.287
361.059998,359.218,358.085
360.200012,360.168,359.143
362.459991,361.473,360.561
360.470001,361.088,360.88
361.670013,361.402,361.271
361.799988,361.535,361.481
363.149994,362.453,362.091
365.519989,364.11,363.294
367.779999,366.255,365.047
367.820007,367.423,366.325
369.5,368.653,367.754
367.859985,368.4,368.123
370.429993,369.418,369.034
370.480011,370.027,369.635
366.820007,368.642,368.835
363.279999,365.66,366.923
360.160004,362.31,364.385
361.709991,361.455,362.877
359.420013,360.307,361.187
357.779999,358.982,359.687
357.059998,357.693,358.551
350.299988,353.8,355.575
348.079987,350.317,352.517
343.040009,345.93,348.688
343.690002,344.205,346.167
345.059998,344.267,345.043
346.339996,345.472,345.145
345.450012,345.682,345.214
348.559998,347.153,346.495
348.429993,347.977,347.365
345.660004,347.067,346.996
345.089996,345.837,346.397
346.230011,345.755,346.261
345.390015,345.62,345.793
340.890015,343.28,344.036
338.660004,340.525,342.039
335.859985,337.632,339.575
336.839996,336.817,338.053
338.630005,337.572,337.753
336.899994,337.467,337.328
336.160004,336.818,336.922
331.709991,334.058,335.199
337.410004,335.302,335.653
341.329987,338.42,337.376
343.75,341.887,339.725
349.019989,345.982,343.375
351.809998,349.537,347.097
346.630005,348.755,347.752
346.170013,347.263,347.639
346.299988,346.312,347.247
348.179993,347.218,347.312
350.559998,349.057,348.226
350.01001,349.888,349.04
354.25,352.222,351.042
356.790009,354.813,353.352
359.859985,357.902,355.986
358.929993,358.883,357.531
361.329987,360.285,359.319
361,360.765,360.241
361.799988,361.455,360.981
362.679993,362.107,361.679
361.339996,361.863,361.743
360.049988,360.918,361.217
358.690002,359.585,360.322
